presion , temperatura, humedad,  PM25, PM10 , CO , CH4 , CO2 , O3 
754, 16.73 ,67, 0.0 , 0.0 , 91.8 , 34.8 , 361.2 , 7.5 
754, 16.32 ,71, 1.0 , 1.0 , 93.1 , 33.8 , 340.4 , 7.6 
754, 16.17 ,72, 0.0 , 0.0 , 93.4 , 33.6 , 326.7 , 7.5 
754, 15.99 ,72, 0.0 , 0.0 , 94.5 , 32.4 , 318.1 , 7.6 
754, 16.21 ,71, 0.0 , 0.0 , 93.1 , 33.1 , 301.7 , 7.6 
754, 15.69 ,75, 1.0 , 1.0 , 93.6 , 32.5 , 295.3 , 7.6 
754, 16.11 ,74, 1.0 , 1.0 , 93.4 , 32.7 , 287.9 , 7.6 
754, 16.22 ,72, 2.0 , 2.0 , 93.4 , 32.9 , 285.6 , 7.7 
754, 15.99 ,74, 2.0 , 2.0 , 92.8 , 32.8 , 270.0 , 7.7 
754, 16.04 ,74, 1.0 , 2.0 , 91.4 , 32.8 , 252.7 , 7.6 
754, 16.14 ,72, 1.0 , 4.0 , 92.7 , 32.3 , 253.8 , 7.8 
754, 16.75 ,70, 1.0 , 1.0 , 92.8 , 32.1 , 236.1 , 7.9 
754, 16.94 ,67, 0.0 , 0.0 , 90.8 , 33.4 , 233.4 , 7.8 
754, 17.33 ,67, 3.0 , 3.0 , 91.4 , 33.1 , 213.2 , 7.7 
754, 17.69 ,66, 2.0 , 2.0 , 93.4 , 31.1 , 206.2 , 7.9 
754, 19.17 ,61, 3.0 , 3.0 , 91.6 , 33.1 , 192.0 , 7.8 
755, 17.90 ,61, 1.0 , 1.0 , 89.1 , 33.4 , 183.5 , 7.6 
754, 18.97 ,60, 0.0 , 0.0 , 90.6 , 33.1 , 177.0 , 7.6 
754, 19.79 ,60, 1.0 , 1.0 , 92.0 , 32.3 , 168.8 , 7.7 
755, 19.08 ,60, 0.0 , 0.0 , 89.4 , 33.9 , 163.9 , 7.6 
755, 19.44 ,58, 0.0 , 0.0 , 90.0 , 32.7 , 159.0 , 7.7 
755, 22.77 ,48, 0.0 , 0.0 , 93.2 , 32.4 , 149.4 , 7.8 
755, 24.48 ,45, 0.0 , 0.0 , 93.2 , 33.0 , 142.0 , 7.8 
755, 21.94 ,48, 0.0 , 0.0 , 89.9 , 33.4 , 138.1 , 7.7 
755, 23.58 ,44, 0.0 , 0.0 , 89.1 , 34.3 , 133.8 , 7.6 
754, 24.76 ,42, 0.0 , 0.0 , 93.3 , 32.7 , 129.5 , 7.9 
754, 22.23 ,48, 0.0 , 0.0 , 89.0 , 35.3 , 127.2 , 7.6 
755, 21.81 ,50, 1.0 , 1.0 , 96.3 , 31.7 , 127.0 , 7.7 
754, 21.86 ,51, 1.0 , 1.0 , 90.3 , 33.2 , 122.7 , 7.7 
754, 24.48 ,43, 0.0 , 0.0 , 92.6 , 33.8 , 115.4 , 7.8 
754, 23.01 ,45, 1.0 , 1.0 , 89.0 , 34.5 , 115.8 , 7.6 
754, 24.89 ,38, 0.0 , 0.0 , 88.5 , 34.5 , 107.3 , 7.7 
754, 23.26 ,46, 1.0 , 1.0 , 88.6 , 32.1 , 103.8 , 7.6 
754, 24.36 ,44, 0.0 , 0.0 , 92.7 , 31.0 , 102.8 , 7.9 
753, 25.37 ,38, 0.0 , 0.0 , 90.1 , 33.4 , 98.5 , 7.8 
753, 26.72 ,36, 0.0 , 0.0 , 94.2 , 31.8 , 97.1 , 7.9 
753, 25.16 ,37, 0.0 , 0.0 , 89.8 , 34.7 , 96.1 , 7.7 
753, 21.66 ,48, 0.0 , 0.0 , 88.9 , 32.9 , 94.6 , 7.6 
753, 21.77 ,48, 0.0 , 0.0 , 91.0 , 32.7 , 93.4 , 7.7 
753, 23.66 ,40, 0.0 , 0.0 , 88.1 , 34.8 , 89.4 , 7.6 
753, 22.91 ,45, 0.0 , 0.0 , 89.7 , 34.9 , 88.7 , 7.7 
753, 19.60 ,61, 2.0 , 2.0 , 83.8 , 37.0 , 423.3 , 7.7 
753, 19.55 ,60, 0.0 , 0.0 , 82.8 , 35.9 , 539.7 , 7.7 
753, 19.91 ,59, 0.0 , 0.0 , 82.3 , 37.1 , 568.7 , 7.6 
753, 19.90 ,59, 0.0 , 0.0 , 85.9 , 35.6 , 552.4 , 7.6 
753, 17.69 ,63, 0.0 , 0.0 , 82.7 , 34.0 , 552.3 , 7.5 
752, 20.62 ,55, 0.0 , 0.0 , 87.4 , 30.1 , 533.1 , 7.8 
752, 22.45 ,46, 0.0 , 0.0 , 85.1 , 34.6 , 480.3 , 7.6 
752, 22.64 ,47, 0.0 , 0.0 , 84.8 , 32.4 , 447.6 , 7.8 
752, 21.15 ,48, 0.0 , 0.0 , 76.4 , 39.3 , 420.9 , 7.4 
752, 21.81 ,51, 0.0 , 0.0 , 86.4 , 33.3 , 403.6 , 7.6 
752, 22.18 ,48, 0.0 , 0.0 , 85.3 , 34.0 , 385.5 , 7.6 
752, 21.80 ,47, 0.0 , 0.0 , 81.7 , 34.5 , 362.0 , 7.5 
752, 21.94 ,46, 0.0 , 0.0 , 80.5 , 36.0 , 344.9 , 7.5 
752, 20.79 ,48, 0.0 , 0.0 , 79.4 , 37.0 , 329.1 , 7.5 
752, 21.07 ,49, 0.0 , 0.0 , 80.7 , 33.9 , 312.4 , 7.5 
751, 21.01 ,48, 0.0 , 0.0 , 80.1 , 34.9 , 297.5 , 7.6 
