presion,temperatura,humedad,PM25,PM10,CO,CH4,CO2,O3
756,16.70,55,8.5,8.6,123.6,39.5,284.0,7.4
756,16.57,55,0.3,0.3,125.6,38.9,300.0,7.5
755,16.73,55,0.6,0.6,123.0,39.6,297.0,7.4
755,16.23,57,0.4,0.4,125.6,39.2,301.0,7.4
755,16.20,58,0.6,0.6,125.2,39.0,294.0,7.4
755,16.63,56,0.4,0.4,123.3,39.4,302.0,7.4
755,16.57,56,0.3,0.3,127.0,39.2,299.0,7.3
755,16.46,57,0.4,0.4,128.8,38.3,303.0,7.3
755,16.40,57,0.3,0.3,128.0,38.3,302.0,7.4
755,16.52,57,0.3,0.3,124.6,38.1,308.0,7.4
755,16.62,57,0.3,0.3,125.2,38.5,310.0,7.4
755,16.31,58,0.2,0.2,128.3,37.8,302.0,7.5
755,16.34,58,0.2,0.2,126.1,38.1,297.0,7.4
755,16.37,58,0.3,0.3,130.9,37.3,295.0,7.5
755,16.61,58,0.4,0.4,125.3,39.6,311.0,7.5
755,15.94,64,9.1,9.2,139.6,34.3,305.0,7.8
755,15.22,67,0.4,0.4,135.0,33.7,310.0,7.6
755,15.27,69,3.8,3.8,137.3,33.1,306.0,7.7
755,15.46,67,0.8,0.8,135.8,34.0,301.0,7.7
755,15.78,64,1.1,1.2,133.5,35.0,311.0,7.6
755,15.70,64,0.8,0.9,142.3,34.4,299.0,7.9
755,15.96,62,2.9,2.9,136.3,35.7,294.0,7.8
755,16.04,61,1.9,1.9,136.7,35.8,309.0,7.8
755,16.20,60,2.5,2.5,149.0,34.9,318.0,8.4
755,16.32,59,3.9,3.9,173.0,31.6,312.0,9.1
756,16.85,57,2.5,2.5,165.2,33.4,336.0,8.8
755,17.29,57,16.6,16.7,167.6,32.7,326.0,9.0
755,18.77,52,2.0,2.0,142.2,35.7,267.0,8.2
756,18.96,51,10.1,10.1,162.5,33.5,317.0,9.0
756,18.77,52,20.5,20.6,155.1,35.5,330.0,8.5
756,18.77,53,3.3,3.3,201.5,29.6,313.0,9.9
756,18.79,53,4.9,4.9,174.9,31.8,323.0,9.2
756,19.40,51,11.6,11.7,164.8,32.8,320.0,8.8
756,19.64,51,6.7,6.7,147.6,34.1,318.0,8.2
756,20.60,49,1.6,1.6,154.0,33.8,310.0,8.6
756,19.94,51,35.8,36.0,161.1,32.6,319.0,8.7
756,20.26,50,5.1,5.2,151.5,33.3,327.0,8.5
756,20.41,49,5.0,5.2,160.1,32.5,334.0,9.1
756,20.67,49,5.0,5.0,141.2,35.3,324.0,8.2
756,20.77,49,7.6,7.7,158.2,33.4,341.0,8.6
756,20.98,48,3.1,3.1,144.1,34.5,318.0,8.2
756,20.49,54,5.2,5.2,163.0,31.2,325.0,8.7
755,21.18,50,2.0,2.0,149.0,33.1,306.0,8.3
755,21.63,48,7.7,7.8,169.4,32.0,342.0,9.0
755,22.43,45,24.2,24.4,154.5,33.4,324.0,8.6
755,22.71,48,8.8,8.9,166.4,30.9,338.0,8.9
755,22.15,47,3.4,3.4,181.4,29.5,334.0,9.6
755,21.86,45,11.7,11.8,142.8,34.5,331.0,8.1
755,24.03,41,5.2,5.7,171.1,32.1,322.0,9.2
755,23.49,42,6.0,6.1,196.1,29.6,332.0,10.3
754,22.73,43,1.7,1.9,143.6,34.5,316.0,8.3
754,22.30,45,4.2,4.2,148.7,34.1,391.0,8.4
754,22.97,44,6.6,7.7,167.6,32.0,327.0,9.0
754,23.37,41,1.8,1.9,170.6,31.7,324.0,9.2
754,23.34,42,2.4,2.4,160.4,33.2,319.0,9.0
754,23.06,42,6.3,6.3,146.1,34.1,312.0,8.3
754,23.30,42,1.8,1.8,152.3,32.6,335.0,8.5
